,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
358,True,,Pola X,1999,Not Rated,09 Oct 1999,134 min,"Drama, Romance",Leos Carax,"Leos Carax, Jean-Pol Fargeau, Herman Melville","Guillaume Depardieu, Yekaterina Golubeva, Catherine Deneuve","A young writer becomes intrigued with a mysterious dark-haired woman who claims to be his long-lost sister, starting an unusual relationship with her and prompting a downward spiral involving his domineering mother and lovely fiancée",French,"France, Switzerland, Germany, Japan",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZDZhNTY4MzgtNzU0My00YjM3LTg2MzMtMTFiZjAyOGVmNWI0XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.8,"4,774",tt0152015,movie,10 Apr 2001,NaN,NaN,NaN
359,True,,Requiem for Murder,1999,PG-13,03 Apr 1999,95 min,Thriller,Douglas Jackson,Matt Dorff,"Molly Ringwald, Christopher Heyerdahl, Lynne Adams",Anne Winslow hosts a popular classical music radio show. Detective Lou Heinz discovers Anne is connected to a series of murders in which the victim is killed via poisoned wine while a radio is tuned into her show. It seems that each ,English,Canada,NaN,https://m.media-amazon.com/images/M/MV5BODgxNmEzZTMtODVkZS00OWFmLWE5ZDctYzJiOWMwYjQ4OGY0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,335,tt0152174,movie,12 Jun 2001,NaN,Avalanche Entertainment,NaN
360,True,,Sweet as Pie,1999,NaN,NaN,NaN,Adult,NaN,NaN,NaN,NaN,English,USA,NaN,NaN,[],NaN,NaN,NaN,tt0152766,movie,NaN,NaN,NaN,NaN
361,True,,Taal,1999,Not Rated,13 Aug 1999,179 min,"Drama, Musical, Romance",Subhash Ghai,"H. Banerjee, Sachin Bhowmick, Subhash Ghai","Akshaye Khanna, Anil Kapoor, Aishwarya Rai Bachchan","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in.","Hindi, Tamil",India,18 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMDllMThjNDgtNGMwNS00ZmY4LWI3ODktZGEzYTczNDljYzVjXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",NaN,6.7,"5,244",tt0152836,movie,01 Mar 2018,"$2,020,532",NaN,NaN
362,True,,Teen Knight,1999,G,18 Jan 1999,89 min,"Adventure, Fantasy",Phil Comeau,"Antony Anderson, Christopher Mollo","Kris Lemche, Caterina Scorsone, Benjamin Plener","When a boy enters a contest and wins a night at a medieval theme park, an electrical storm pulls him back in time, to battle sorcerers and dragons.",English,"Canada, Romania",NaN,https://m.media-amazon.com/images/M/MV5BMDM4MDQzZTUtZDY5NC00ZGUwLWE5MTctMmU3M2ViN2UzMmI5XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",NaN,3.1,186,tt0152946,movie,28 Jan 2017,NaN,NaN,NaN
363,True,,This Space Between Us,1999,Not Rated,01 May 1999,98 min,"Comedy, Drama, Romance",Matthew Leutwyler,"Matthew Leutwyler, Peter Rudy, Shauna Rudy","Jeremy Sisto, Poppy Montgomery, Erik Palladino","Filmmaker Alex Harty, 29, has always considered himself a ""tortured artist""-but it's not until his wife dies in a car accident that he learns the term's true meaning. Still saddled with grief two years after her death, Alex's once-pr",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMjEyNDkzNTI3N15BMl5BanBnXkFtZTcwNTc0NjczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",NaN,5.6,176,tt0153031,movie,07 Nov 2006,NaN,NaN,NaN
364,True,,This Year's Love,1999,NaN,19 Feb 1999,108 min,"Drama, Romance, Comedy",David Kane,David Kane,"Kathy Burke, Jennifer Ehle, Ian Hart","A group of thirtysomethings flit around Camden Town swapping partners in search of love, lust and life.",English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BNzAyMDQyNTA3MF5BMl5BanBnXkFtZTcwMDMwNDgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",NaN,6.3,"1,640",tt0153032,movie,NaN,NaN,NaN,NaN
365,True,,Straydogs,1999,NaN,05 Feb 1999,93 min,Drama,Daniel Alfredson,"Henning Koch (dialogue translation), Hans Renhäll","Mark Bagnall, Kevin Knapman, Michael Legge, Bo Lyckman","Vildhundarna is a drama far away from the Swedish reality. It's about four young people on the outermost, with norms dispersed, the only survivors in a nameless city, in a nameless country....","English, Swedish",Sweden,1 nomination.,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,112,tt0153546,movie,NaN,NaN,NaN,NaN
366,True,,Where Are the Bredstix?,1999,NaN,NaN,NaN,"Comedy, Music",Matthew Tobey,"Anthony Brown, Bob Felts, Paul Fisher, Sam Forsyth, Deckie Holmes, Anthony Lawry, Jesse Popp, Dennis Proctor, Chad Roberts, Chad Talo, Brad Torreano, Jacquelyn Turner-Robinson (screenplay), Jacquelyn Turner-Robinson (story), Jeremy Wells","Anthony Brown, Bob Felts, Paul Fisher, Sam Forsyth","A Spinal Tap-ish Mockrockumentary, about the Bredstix. The movie traces the bands roots, from rock stars, to country stars, to rap stars, through their failed attempt at conquering the ...",English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",NaN,8.0,8,tt0153758,movie,NaN,NaN,NaN,NaN
367,True,,Wirey Spindell,1999,Not Rated,21 Jan 2000,101 min,Comedy,Eric Schaeffer,Eric Schaeffer,"Eric Schaeffer, Eric Mabius, Devin Matthews",A whimsical look back at the life of a man who is nervous about his upcoming wedding.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMjA0MzA1NzA0NV5BMl5BanBnXkFtZTcwMjU2MTgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '15/100'}]",15,5.3,625,tt0153866,movie,19 Jan 2017,"$9,838","Wirey Productions, Five Minutes Before the Miracle, WinStar Cinema, Terence Michael Productions",NaN
368,True,,Ball Hill,1999,NaN,NaN,NaN,Drama,Jeff McArthur,Doug Marr,NaN,NaN,English,USA,NaN,NaN,[],NaN,NaN,NaN,tt0154196,movie,NaN,NaN,NaN,NaN
369,True,,Chasing Dragon,1999,NaN,NaN,NaN,NaN,Ronny Yu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",NaN,5.7,12,tt0154313,movie,NaN,NaN,NaN,NaN
370,True,,8 ½ Women,1999,R,10 Dec 1999,118 min,"Comedy, Drama",Peter Greenaway,Peter Greenaway,"John Standing, Matthew Delamere, Vivian Wu","Following the death of a mother, a father and son open up a brothel in their Genevan estate after watching 8½ (1963).","English, Italian, Japanese, Latin","United Kingdom, Netherlands, Luxembourg, Germany",2 nominations,https://m.media-amazon.com/images/M/MV5BYzZkYWE1OGUtMzViOS00YmVmLTllM2EtYTdhMWYyYWU0ZDdmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.8,"3,948",tt0154443,movie,19 Aug 2003,"$424,123",NaN,NaN
371,True,,Kulkuri ja joutsen,1999,NaN,19 Feb 1999,117 min,"Biography, Drama, Music",Timo Koivusalo,"Timo Koivusalo, Juha Numminen","Tapio Liinoja, Martti Suosalo, Heikki Nousiainen","The film tells the story of two very popular Finnish singer/songwriters: Tapio Rautavaara (Tapio Liinoja) and Repe Helismaa (Martti Suosalo), who worked together until their relationship got frictious for a long time. The film covers",Finnish,Finland,1 nomination,https://m.media-amazon.com/images/M/MV5BZGM1MWRjMjEtZjNiNy00ZDcwLThhNWItMzEyYzg0ZjhhNzMzXkEyXkFqcGdeQXVyMjI0MjMwMzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",NaN,6.7,731,tt0154750,movie,NaN,NaN,NaN,NaN
372,True,,Moving Targets,1999,PG-13,17 Dec 2002,90 min,"Crime, Thriller",David Giancola,Brett Piper,"Burt Ward, Miles O'Keeffe, Libby Hudson Lydecker",A pair of cops are following a lawyer who has information on a mobster. He's killed and his wife has to help the cops catch the bad guy.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTQ4NjU2MDgyMF5BMl5BanBnXkFtZTcwMjcwNzAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,110,tt0154901,movie,24 Aug 1999,NaN,NaN,NaN
373,True,,Mud Season,1999,NaN,24 Jan 1999,102 min,NaN,Anthony Hall,"Anthony Hall, Rob Lewbel","Rusty De Wees, Linda Shing, George Woodard, Sewell Whitney",NaN,English,USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI3MTUzOTgzM15BMl5BanBnXkFtZTcwMjExODI5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",NaN,7.3,43,tt0154908,movie,NaN,NaN,NaN,NaN
374,True,,Speedway Junky,1999,R,22 Jun 1999,105 min,"Crime, Drama, Romance",Nickolas Perry,Nickolas Perry,"Richard Balin, Jaime Bergman, Jesse Bradford","Johnny wants to be a stock car racer one day. He meets a young, gay hustler in Vegas, who takes him to meet his friends/gang and his ""mom"", an ex hooker etc.",English,"United States, Israel",2 nominations,https://m.media-amazon.com/images/M/MV5BZTcyODc0YWEtOGE1OS00MzFiLWE5ZWUtZTMzN2NiYzMxNmZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.8,"1,812",tt0155197,movie,04 Sep 2017,"$17,246",NaN,NaN
375,True,,$pent,1999,NaN,01 Mar 1999,91 min,Drama,Gil Cates Jr.,Gil Cates Jr.,"Jason London, Charlie Spradling, Phill Lewis, Erin Beaux",An out-of-work actor uses his skills to con everyone he knows into lending or giving him money to pay off his debts.,English,USA,NaN,https://m.media-amazon.com/images/M/MV5BMTI1MTI1Njk1MF5BMl5BanBnXkFtZTcwMDc5NjAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.0,141,tt0155198,movie,NaN,"$9,287",NaN,NaN
376,True,,The Thomas Crown Affair,1999,R,06 Aug 1999,113 min,"Crime, Romance, Thriller",John McTiernan,"Alan Trustman, Leslie Dixon, Kurt Wimmer","Pierce Brosnan, Rene Russo, Denis Leary","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.","English, German, Polish, French",United States,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmU0N2RiNTAtN2U4MS00MWExLTkzNGYtOTVhNmVmZmNlOTUzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.9,"90,164",tt0155267,movie,02 Feb 2004,"$69,305,181",NaN,NaN
377,True,,The Winslow Boy,1999,G,29 Oct 1999,104 min,"Drama, Romance",David Mamet,"Terence Rattigan, David Mamet","Rebecca Pidgeon, Jeremy Northam, Nigel Hawthorne","Following the theft of a postal order, a 14-year-old cadet is expelled from Naval College. To save the honour of the boy and his family, the pre-eminent barrister of the day is engaged to take on the might of the Admiralty.",English,"United Kingdom, United States",6 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMDhmNzEyOGMtZGIwYi00NjY4LWFhNGYtMGFmZGViYzFiYzQ0XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.3,"8,983",tt0155388,movie,01 Feb 2000,"$3,957,934",NaN,NaN
378,True,,Flawless,1999,R,24 Nov 1999,112 min,"Comedy, Crime, Drama",Joel Schumacher,Joel Schumacher,"Robert De Niro, Philip Seymour Hoffman, Barry Miller","An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons, with the drag queen next door.",English,United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOTJlMGU2YjgtOTQzNS00ODNmLTg4OTEtM2Y5NDE3MTNjMjNlXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.5,"18,448",tt0155711,movie,01 Oct 2015,"$4,488,529",NaN,NaN
379,True,,Forever Midnight,1999,NaN,27 Apr 1999,105 min,Drama,Nathan Blackwell,Nathan Blackwell,"Sarah Byrd, Erick H. Weir, James Hoenscheidt, Michael Bigney",It's the summer after high school graduation and three friends are about learn if they don't control their lives then it'll control them.,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",NaN,5.4,47,tt0155714,movie,NaN,NaN,NaN,NaN
380,True,,Gloomy Sunday - Ein Lied von Liebe und Tod,1999,Not Rated,21 Oct 1999,112 min,"Romance, Drama",Rolf Schübel,"Ruth Toma, Rolf Schübel, Nick Barkow","Joachim Król, Erika Marozsán, Stefano Dionisi","Follows three men who are in love with a most beautiful waitress: An intellectual restaurant owner, a mysterious musician and an erratic businessman; taking place during the WWII.","German, English, Hungarian","Germany, Hungary",7 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMzJiNWMxNDQtNTAyNS00YmJkLThmMTctZTEwZjU2NWNmNWUzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.8,"7,623",tt0155722,movie,12 Sep 2006,"$585,604",NaN,NaN
381,True,,Gunfighter,1999,PG-13,16 Mar 1999,94 min,Western,Christopher Coppola,Christopher Coppola,"Robert Carradine, Martin Sheen, George Nix","A classic western tale of hate, murder and revenge.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTQ5OTEyMTI3MV5BMl5BanBnXkFtZTcwODg4ODIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",NaN,3.7,315,tt0155732,movie,16 Mar 1999,NaN,Sterling Entertainment,NaN
382,True,,Jawbreaker,1999,R,19 Feb 1999,87 min,"Comedy, Crime, Thriller",Darren Stein,Darren Stein,"Rose McGowan, Rebecca Gayheart, Julie Benz",Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,5.7,"25,557",tt0155776,movie,22 May 2001,"$3,117,085",NaN,NaN
383,True,,Magnetisøren's femte vinter,1999,NaN,12 Feb 1999,123 min,"Drama, Romance",Morten Henriksen,"Morten Henriksen, Per Olov Enquist, Jonas Cornell","Rolf Lassgård, Ole Lemmeke, Johanna Sällström","A mysterious stranger, Meisner, arrives in a northern Swedish town in 1820, calling himself a magnetist - an amalgam of hypnotist and healer - and claiming he can cure diseases un-treatable by doctors. Ignoring the objections of his ","Norwegian, Swedish, Danish","Denmark, Norway, Sweden",6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZWQyNmRjZDgtNzM5NC00ZGE5LTg5M2QtODhkMjVmODc1NDM4XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",NaN,6.5,406,tt0155845,movie,NaN,NaN,"Magic Hour Films ApS, European Script Fund, Svenska Filminstitutet, Athenafilm, Nordisk Film, Norsk Film, Felicia Film",NaN
384,True,,Palmer's Pick-Up,1999,R,03 Mar 1999,108 min,Comedy,Christopher Coppola,"Christopher Coppola, Nick Johnson","Marc Coppola, Morton Downey Jr., Robert Carradine","Two dimwit owners (Robert Carradine, Richard Hillman) of a struggling hauling company are approached about hauling a huge, mysterious box across country at the end of the century. The cargo has religious significance and may be an at",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTk5MzI5OTc3N15BMl5BanBnXkFtZTcwNDU5ODY3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",NaN,4.8,242,tt0155940,movie,25 Aug 2018,NaN,NaN,NaN
385,True,,Quatre femmes d'Égypte,1997,NaN,NaN,89 min,Documentary,Tahani Rached,NaN,"Safynaz Kazem, Wedad Mitry, Shahenda Maklad, Amina Rachid",NaN,Arabic,Canada,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",NaN,7.5,20,tt0155987,movie,NaN,NaN,NaN,NaN
386,True,,Requiem für eine romantische Frau,1999,NaN,18 Mar 1999,100 min,"Drama, History, Romance",Dagmar Knöpfel,"Hans Magnus Enzensberger, Dagmar Knöpfel","Sylvester Groth, Janina Sachau, Jeanette Hain","Frankfurt, Germany, 1807. Clemens Bretano, a writer, meets Auguste Bußman, a 17-year old girl from a wealthy banker's family. She is a very passionate and impulsive being and immediately falls in love with him. In contrary to her, Cl",German,Germany,4 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTg3NjIzNjk3NF5BMl5BanBnXkFtZTcwNzQ0MjgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",NaN,6.2,128,tt0156017,movie,NaN,NaN,NaN,NaN
387,True,,Salkim Hanim'in Taneleri,1999,NaN,19 Nov 1999,120 min,"Drama, History",Tomris Giritlioglu,"Tamer Baran, Yilmaz Karakoyunlu, Etyen Mahçupyan","Zafer Algöz, Hülya Avsar, Güven Kiraç","The film is set during the period of the Varlik Vergisi where many non-Muslims were forced to pay higher taxes, often in an arbitrary and unrealistic way. Around two thousand non-Muslims, who could not pay the amount demanded for the",Turkish,Turkey,14 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BNzc2YTU2YjItYjAwZC00YzBhLWFhYTctNTc3MjBhZThjZTA2XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",NaN,6.5,"1,359",tt0156038,movie,NaN,NaN,NaN,NaN
388,True,,Spring Forward,1999,R,01 Apr 2000,110 min,Drama,Tom Gilroy,Tom Gilroy,"Campbell Scott, Ned Beatty, Liev Schreiber",An ex convict befriends an elderly coworker as they both try to find meaning in life and forgiveness for their past.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjE3NTcxNDEzOV5BMl5BanBnXkFtZTgwNDIwNDgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.5,"1,458",tt0156096,movie,17 Sep 2002,"$117,471",NaN,NaN
389,True,,Stonebrook,1999,PG-13,30 Apr 1999,90 min,"Drama, Thriller",Byron W. Thompson,Steve Morris,"Seth Green, Zoe McLellan, Brad Rowe","With the help of a friend of the family, 23-year-old Erik (Brad Rowe) gets a scholarship to the Ivy League-type school called Stonebrook. His dorm-mate (Seth Green) is a nerdy hacker named Cornelius. When his scholarship is yanked, t",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjA3MDk5Mzk5NV5BMl5BanBnXkFtZTcwMTQyNDEyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,416,tt0156106,movie,25 Jul 2000,NaN,"First Ignite, Joy Art, Inc.",NaN
390,True,,Bloodthirsty,1999,NaN,27 Apr 1999,98 min,"Horror, Thriller",Jeff Frey,A. Gregory,"Monique Parent, Leslie Danon, Matt Bailey",A beautiful young woman develops a fetish for drinking blood from the veins of her roommate.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTk0Njc4NzAzMV5BMl5BanBnXkFtZTcwNzk2ODIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",NaN,3.6,326,tt0156372,movie,NaN,NaN,NaN,NaN
391,True,,Cold Hearts,1999,R,NaN,90 min,"Thriller, Horror",Robert A. Masciantonio,Robert A. Masciantonio,"Marisa Ryan, Robert Floyd, Amy Jo Johnson, Christopher Wiehl","A quiet town in New Jersey possesses a dark secret. Viktoria has given her life and soul to the ways of the vampire. Now, after almost a decade of stealing blood from local hospitals and ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMzUwOTM3MzI5Nl5BMl5BanBnXkFtZTcwMzAzNTIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",NaN,4.8,359,tt0156417,movie,25 Nov 2013,NaN,NaN,NaN
392,True,,Entropy,1999,R,27 Nov 1999,104 min,"Comedy, Drama, Romance",Phil Joanou,Phil Joanou,"Stephen Dorff, Judith Godrèche, Kelly Macdonald",Stephen Dorff narrates this tale about how his life goes astray as his character attempts to strike a balance between the demands of directing his first film and the pressures of his new romance with a model. U2's Bono plays a role i,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTg1MDE0NjM3OV5BMl5BanBnXkFtZTgwMDA0NDgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",NaN,6.3,"2,284",tt0156515,movie,29 Jan 2019,NaN,NaN,NaN
393,True,,Frontline,1999,NaN,14 Jan 1999,91 min,Drama,Quinton Peeples,"Joseph Bitonti, Francesco Lucente","Jason London, Rya Kihlstedt, Lenny von Dohlen","While fighting on the frontlines of France, American soldier Robert is taken captive by German forces. The life of a prisoner of war is bleak, but Robert finds hope and solace in a beautiful local woman named Catherine.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BZDAyYzM1M2MtOGM1My00ZWFjLWEzZTctYzVmYjJlOWJmODZkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",NaN,4.9,57,tt0156546,movie,28 Sep 1999,NaN,WGBH,NaN
394,True,,The Big Tease,1999,R,28 Jan 2000,86 min,Comedy,Kevin Allen,"Sacha Gervasi, Craig Ferguson","Craig Ferguson, Chris Langham, David Rasche","The Big Tease is big fun, a fish-out-of-water tale teeming with charm and a hilariously satiric view of life in L. A.",English,"United Kingdom, United States",NaN,https://m.media-amazon.com/images/M/MV5BMTQwODQ2OTYwM15BMl5BanBnXkFtZTcwMjU5NTAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.2,"2,598",tt0156639,movie,01 Jan 2009,"$187,152",NaN,NaN
395,True,,Kingdom Come,1999,NaN,NaN,85 min,NaN,Shannon Goldman,"Christopher Lofton, Shirley MacLaine","James Burton, Don Carter, David Deblinger, David Marantz",NaN,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",NaN,8.0,12,tt0156709,movie,NaN,NaN,NaN,NaN
396,True,,Kiss Toledo Goodbye,1999,R,15 Apr 2000,96 min,"Comedy, Thriller",Lyndon Chubbuck,Robert Easter,"Michael Rapaport, Christopher Walken, Robert Forster","A man learns that the bio father he knew nothing about is involved in a world of crime. Upon dad's death he is expected to join his new ""family.""",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BYzk0NjQ0ZWItOGMyZi00NDY1LWFlZDgtYTlmNzg3OTM3MTQ5XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",NaN,4.7,584,tt0156711,movie,NaN,NaN,NaN,NaN
397,True,,The Secret Pact,1999,R,17 Jul 2001,94 min,Thriller,Rodney Gibbons,"Brian Cameron Fuld, William Lee, Dick Lowry","Rider Strong, Adam Frost, Lisa Zane","After witnessing the killing of his parents, a young teenage boy is put in a witness relocation program and sent to a boarding school in Canada to start a new life. He soon befriends a fellow student who is a hit man looking for him.","English, French","Canada, United States",NaN,https://m.media-amazon.com/images/M/MV5BMjA0NjA3MDk3Nl5BMl5BanBnXkFtZTgwMDY2OTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",NaN,5.7,388,tt0156859,movie,NaN,NaN,NaN,NaN
398,True,,The Pawn,1999,R,04 Apr 1999,88 min,"Action, Crime, Drama",Clay Borris,"Clay Borris, Ian Robertson","Greg Evigan, Tony Lo Bianco, Rob Stewart",Lieutenant Ray Harlan returns home to escape his past and find solace with his family. But what he encounters is quite different and cuts to the very core of his existence.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMjEwNjM1Njc1MF5BMl5BanBnXkFtZTcwMjc0NjkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",NaN,4.1,132,tt0156881,movie,16 Nov 1999,NaN,NaN,NaN
399,True,,The Pornographer,1999,R,05 Mar 1999,89 min,Drama,Doug Atchison,Doug Atchison,"Michael DeGood, Craig Wasson, Monique Parent","A socially inept man's amateur porn film wins him a contract with a small-time pornography distribution company, where he faces a series of moral crises and is forced to face his own porn addiction.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNTk1NTExMzgzOV5BMl5BanBnXkFtZTcwMzg0OTUxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",NaN,5.2,827,tt0156904,movie,20 Nov 2001,NaN,NaN,NaN
